global_round,train_loss,train_mae,train_mape,train_r2,train_mse,dev_loss,dev_mae,dev_mape,dev_r2,dev_mse,test_loss,test_mae,test_mape,test_r2,test_mse
95,69076650.20571429,4243.281211934372,10.284574320457743,0.5334251281928896,69076649.87090297,103267668.0,4602.295362668504,4.326650642770287,0.33238977425594596,103267670.21638428,125331555.40219447,4125.4499410878725,2.8426423258655147,-0.038614804867649566,125331553.89660275
96,67476239.30285715,4227.1674366769885,10.225308663374953,0.5442350225341499,67476239.45089777,101239617.68421052,4587.34514234715,4.349039051530499,0.3455008311663642,101239618.14497638,124812636.11653425,4113.334102026826,2.83845433410975,-0.034314615079572786,124812642.10595228
97,66947892.36571429,4194.333468617994,9.975695274480831,0.5478037194478732,66947892.03636629,101149080.0,4563.970764883156,4.190174989280308,0.34608612458072585,101149083.45128326,124801338.36549376,4039.7388518659745,2.7597049675725343,-0.03422092224758333,124801336.02003169
98,68392579.81714286,4241.786608748718,10.326556970421676,0.5380456452489998,68392579.9430235,103093189.05263157,4609.358343684262,4.312939702270617,0.33351774783765176,103093192.35586533,125117642.62328163,4132.398465396507,2.853530210505738,-0.03684222974116769,125117654.00420834
99,69186972.04571429,4239.837396039564,9.959181279130238,0.5326799661225243,69186971.49888164,104752415.57894737,4608.7791669822645,4.298872801988057,0.32279112296074197,104752414.3354104,124326979.44356161,4084.5078303279,2.8113396647618054,-0.030289956774220972,124326979.20479916
100,67072392.78857143,4232.332529073044,9.81358714859436,0.5469627815722475,67072393.32160008,103976496.84210527,4616.493960438493,4.380892469411886,0.32780729498030126,103976499.92024821,124259992.44898474,4111.390086098598,2.8434713514028953,-0.029734864254284954,124259995.1720722
101,68856974.17142858,4247.774622821409,9.610473848154834,0.5349089126025186,68856974.82550058,104579558.10526316,4613.77060020117,4.358640271781864,0.32390860559691803,104579559.24138223,124639167.6165973,4110.376623632147,2.837768923465155,-0.03287713388670377,124639178.61327428
102,67305993.15428571,4219.038104640016,9.749974531717028,0.5453849435661409,67305993.05036107,104601199.15789473,4614.636822758439,4.343063197926892,0.32376870591086515,104601199.28535636,124392850.37205195,4086.7602537830867,2.803780446107047,-0.030835707115850264,124392835.89973113
103,67505414.27428572,4234.114742090644,9.582839443348751,0.5440379613780355,67505414.45646834,102892513.26315789,4611.99965615796,4.374707587992164,0.3348150998697791,102892514.60012998,124496263.79013747,4112.455951969235,2.8422124938712723,-0.03169280950674147,124496264.01763918
104,64820085.95428571,4207.529056638591,9.990727127810336,0.5621758844478478,64820085.612190664,101507272.63157895,4606.190153907691,4.4597313790834905,0.3437704938687798,101507271.17741893,125016100.80766806,4153.04486223313,2.8793923245373056,-0.03600069387051508,125016104.32685508
105,67931107.22285715,4258.718551886023,9.818095249904614,0.5411626400284787,67931107.26191325,102684813.68421052,4627.799466567506,4.477207305358142,0.3361578511481217,102684814.37199168,124726018.10417455,4154.118669863742,2.8864438478001953,-0.03359680579003621,124726022.74212518
